SEX;SCORED_1_LINE;SCORED_2_LINE;SCORED;DEFENCE_0;DEFENCE_1;DEFENCE_2;DEFENCE_3;DEFENCE;GIVEN_POINT;FRAME;LANDING;LINE;OTHER_ERRORS;OVERTURNING_FAILED;ENGAGE_FAILED;SWITCH_FAILED;CONSTRUCTION_FAILED;OTHER_FOULS;FOUL;TOTAL_SHOT_1_LINE;TOTAL_SHOT_2_LINE;TOTAL_SHOT;%SHOT_SCORED_1_LINE;%SHOT_SCORED_2_LINE;%SHOT_SCORED;CAUGHT_1_LINE;CAUGHT_2_LINE;DEFENSIVE_TOUCH;CAUGHT;DROPPED;TOTAL_DEFENCE;%SHOT_DEFENDED;MIN;PPM;DPM;TRUE_POINTS;TPPM;%TRUE_SHOT_SCORED;POINT_ON_TEAM;DEFENCE_ON _TEAM;TRUE_POINT_ON_TEAM;VAL_OFF;VAL_DEF;VAL;VALPM;VAL_ON_TEAM;ROLE
0;;;0;;;;;0;0;;;;;;;;;;0;;;;;;0;;;;3;19;;14;;;;;;;;;;;;;;;Pivot
0;;;8;;;;;3;0;;;;;;;;;;0;;;;;;53;;;;6;0;;0;;;;;;;;;;;;;;;Pivot
0;;;8;;;;;6;0;;;;;;;;;;0;;;;;;47;;;;0;6;;0;;;;;;;;;;;;;;;Wing
0;;;18;;;;;6;2;;;;;;;;;;2;;;;;;64;;;;0;9;;36;;;;;;;;;;;;;;;Wing
0;;;2;;;;;0;0;;;;;;;;;;2;;;;;;50;;;;3;0;;21;;;;;;;;;;;;;;;Pivot
0;;;9;;;;;8;3;;;;;;;;;;0;;;;;;45;;;;4;4;;50;;;;;;;;;;;;;;;Wing
0;;;0;;;;;1;0;;;;;;;;;;0;;;;;;0;;;;3;3;;50;;;;;;;;;;;;;;;Pivot
0;;;8;;;;;5;0;;;;;;;;;;1;;;;;;57;;;;0;4;;0;;;;;;;;;;;;;;;Wing
0;;;3;;;;;1;0;;;;;;;;;;1;;;;;;60;;;;0;3;;25;;;;;;;;;;;;;;;Wing
0;;;3;;;;;4;1;;;;;;;;;;0;;;;;;38;;;;0;1;;0;;;;;;;;;;;;;;;Wing
0;;;0;;;;;2;0;;;;;;;;;;1;;;;;;0;;;;1;0;;100;;;;;;;;;;;;;;;Wing
0;;;3;;;;;2;0;;;;;;;;;;0;;;;;;38;;;;0;2;;0;;;;;;;;;;;;;;;Wing
1;;;5;;;;;10;3;;;;;;;;;;9;;;;;;19;;;;4;0;;80;;;;;;;;;;;;;;;Wing
1;;;1;;;;;0;1;;;;;;;;;;5;;;;;;6;;;;2;9;;18;;;;;;;;;;;;;;;Wing
1;;;2;;;;;9;0;;;;;;;;;;5;;;;;;12;;;;0;4;;20;;;;;;;;;;;;;;;Wing
1;;;1;;;;;2;0;;;;;;;;;;2;;;;;;20;;;;10;0;;67;;;;;;;;;;;;;;;Pivot
1;;;5;;;;;3;1;;;;;;;;;;0;;;;;;21;;;;3;3;;50;;;;;;;;;;;;;;;Wing
1;;;;;;;;1;;;;;;;;;;;;;;;;;43;;;;3;;;54;;;;;;;;;;;;;;;Pivot
1;;;1;;;;;2;2;;;;;;;;;;3;;;;;;14;;;;10;1;;91;;;;;;;;;;;;;;;Pivot
1;;;;;;;;8;1;;;;;;;;;;7;;;;;;6;;;;2;4;;33;;;;;;;;;;;;;;;Wing
1;;;;;;;;;0;;;;;;;;;;1;;;;;;0;;;;4;5;;74;;;;;;;;;;;;;;;Pivot
1;;;9;;;;;6;2;;;;;;;;;;;;;;;;41;;;;2;;;100;;;;;;;;;;;;;;;Wing
1;;;5;;;;;;1;;;;;;;;;;8;;;;;;20;;;;2;2;;50;;;;;;;;;;;;;;;Wing
1;;;2;;;;;2;;;;;;;;;;;;;;;;;40;;;;4;5;;74;;;;;;;;;;;;;;;Pivot
1;;;10;;;;;1;1;;;;;;;;;;;;;;;;42;;;;3;2;;60;;;;;;;;;;;;;;;Wing
1;;;4;;;;;8;;;;;;;;;;;6;;;;;;20;;;;4;2;;67;;;;;;;;;;;;;;;Wing
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;93;;;;;;;;;;;;;;;Pivot
1;;;4;;;;;;;;;;;;;;;;7;;;;;;29;;;;1;;;50;;;;;;;;;;;;;;;Wing
1;;;4;;;;;2;;;;;;;;;;;;;;;;;57;;;;2;1;;67;;;;;;;;;;;;;;;Wing
1;;;;;;;;1;1;;;;;;;;;;2;;;;;;0;;;;1;;;100;;;;;;;;;;;;;;;Pivot
0;;;18;;;;;1;2;;;;;;;;;;1;;;;;;85;;;;4;3;;57;;;;;;;;;;;;;;;Wing
0;;;9;;;;;1;0;;;;;;;;;;2;;;;;;90;;;;3;4;;42;;;;;;;;;;;;;;;Wing
0;;;12;;;;;2;1;;;;;;;;;;1;;;;;;80;;;;4;4;;50;;;;;;;;;;;;;;;Wing
0;;;7;;;;;3;1;;;;;;;;;;0;;;;;;63;;;;1;7;;12;;;;;;;;;;;;;;;Wing
0;;;1;;;;;1;0;;;;;;;;;;0;;;;;;50;;;;4;1;;80;;;;;;;;;;;;;;;Pivot
0;;;1;;;;;0;0;;;;;;;;;;0;;;;;;100;;;;2;4;;33;;;;;;;;;;;;;;;Pivot
0;;;15;;;;;2;0;;;;;;;;;;1;;;;;;88;;;;0;0;;53;;;;;;;;;;;;;;;Wing
0;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;7;6;;83;;;;;;;;;;;;;;;Pivot
0;;;8;;;;;2;0;;;;;;;;;;0;;;;;;80;;;;5;1;;;;;;;;;;;;;;;;;Wing
0;;;10;;;;;0;0;;;;;;;;;;0;;;;;;100;;;;;4;;61;;;;;;;;;;;;;;;Wing
0;;;0;;;;;0;0;;;;;;;;;;0;;;;;;;;;;8;5;;;;;;;;;;;;;;;;;Pivot
1;;;0;;;;;1;0;;;;;;;;;;2;;;;;;0;;;;7;2;;50;;;;;;;;;;;;;;;Pivot
1;;;4;;;;;1;0;;;;;;;;;;0;;;;;;80;;;;20;6;;25;;;;;;;;;;;;;;;Wing
1;;;10;;;;;6;0;;;;;;;;;;3;;;;;;62;;;;1;4;;0;;;;;;;;;;;;;;;Wing
1;;;0;;;;;0;0;;;;;;;;;;0;;;;;;;;;;2;;;100;;;;;;;;;;;;;;;Pivot
1;;;3;;;;;5;0;;;;;;;;;;1;;;;;;37;;;;1;1;;50;;;;;;;;;;;;;;;Wing
1;;;0;;;;;0;0;;;;;;;;;;1;;;;;;;;;;6;7;;100;;;;;;;;;;;;;;;Pivot
1;;;3;;;;;7;2;;;;;;;;;;4;;;;;;25;;;;2;0;;100;;;;;;;;;;;;;;;Wing
1;;;2;;;;;5;0;;;;;;;;;;2;;;;;;40;;;;1;42;;50;;;;;;;;;;;;;;;Wing
1;;;3;;;;;7;0;;;;;;;;;;4;;;;;;30;;;;3;4;;;;;;;;;;;;;;;;;Wing
1;;;1;;;;;0;0;;;;;;;;;;2;;;;;;100;;;;1;2;;33;;;;;;;;;;;;;;;Wing
1;;;0;;;;;2;0;;;;;;;;;;3;;;;;;0;;;;1;3;;25;;;;;;;;;;;;;;;Wing
1;;;0;;;;;1;0;;;;;;;;;;8;;;;;;0;;;;5;7;;;;;;;;;;;;;;;;;Pivot
1;;;3;;;;;7;0;;;;;;;;;;2;;;;;;30;;;;5;4;;55;;;;;;;;;;;;;;;Pivot
1;;;1;;;;;2;1;;;;;;;;;;2;;;;;;25;;;;0;2;;;;;;;;;;;;;;;;;Pivot
1;;;2;;;;;0;0;;;;;;;;;;4;;;;;;100;;;;1;8;;;;;;;;;;;;;;;;;Pivot
1;;;1;;;;;8;0;;;;;;;;;;6;;;;;;;;;;2;2;;50;;;;;;;;;;;;;;;Wing
1;;;5;;;;;7;2;;;;;;;;;;1;;;;;;35;;;;3;7;;;;;;;;;;;;;;;;;Wing
0;;;5;;;;;9;1;;;;;;;;;;1;;;;;;33;;;;1;4;;20;;;;;;;;;;;;;;;Wing
0;;;1;;;;;;1;;;;;;;;;;1;;;;;;50;;;;2;3;;40;;;;;;;;;;;;;;;Pivot
0;;;3;;;;;0;1;;;;;;;;;;3;;;;;;75;;;;0;3;;0;;;;;;;;;;;;;;;Wing
0;;;16;;;;;7;1;;;;;;;;;;1;;;;;;66;;;;0;10;;0;;;;;;;;;;;;;;;Wing
0;;;4;;;;;5;1;;;;;;;;;;2;;;;;;40;;;;2;4;;33;;;;;;;;;;;;;;;Wing
0;;;3;;;;;1;0;;;;;;;;;;1;;;;;;75;;;;2;4;;33;;;;;;;;;;;;;;;Wing
0;;;1;;;;;1;0;;;;;;;;;;0;;;;;;50;;;;1;5;;16;;;;;;;;;;;;;;;Pivot
0;;;3;;;;;3;1;;;;;;;;;;1;;;;;;42;;;;7;12;;36;;;;;;;;;;;;;;;Pivot
0;;;1;;;;;2;1;;;;;;;;;;3;;;;;;78;;;;1;8;;100;;;;;;;;;;;;;;;Wing
1;;;9;;;;;6;0;;;;;;;;;;1;;;;;;60;;;;7;8;;46;;;;;;;;;;;;;;;Wing
1;;;10;;;;;6;0;;;;;;;;;;3;;;;;;62;;;;3;7;;30;;;;;;;;;;;;;;;Wing
1;;;3;;;;;5;1;;;;;;;;;;3;;;;;;33;;;;2;3;;40;;;;;;;;;;;;;;;Wing
